trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.95}",25,9,-157.55656787831603,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 3}",1
2,False,"{'a': 0.2, 'e': 0.8999999999999999}",30,0,-104.58554080572333,"{0: 19, 1: 3, 2: 5, 3: 3, 4: 0}",0
3,False,"{'a': 0.2, 'e': 0.8499999999999999}",20,0,-6.685851643838652,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.2, 'e': 0.7999999999999998}",20,0,-57.40247993956797,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.2, 'e': 0.7499999999999998}",20,0,-58.96981379279217,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.6999999999999997}",20,12,-10.688280206012024,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.2, 'e': 0.6499999999999997}",20,0,-152.18436023886375,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.2, 'e': 0.5999999999999996}",20,0,-106.86766901150544,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.5499999999999996}",20,0,-103.25811395363418,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.4999999999999996}",20,8,-37.032855244804296,"{0: 9, 1: 0, 2: 1, 3: 2, 4: 0}",1
11,False,"{'a': 0.2, 'e': 0.4499999999999996}",35,0,-97.08278511279889,"{0: 25, 1: 2, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.39999999999999963}",25,17,1.5335808932936148,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.2, 'e': 0.34999999999999964}",30,2,-85.54472821556823,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 2}",1
14,False,"{'a': 0.2, 'e': 0.29999999999999966}",25,15,5.150934032666191,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.2, 'e': 0.24999999999999967}",25,12,3.2004690928378663,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.2, 'e': 0.19999999999999968}",25,11,-0.7647871299678861,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.2, 'e': 0.1499999999999997}",25,10,-0.12211934447906092,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.2, 'e': 0.09999999999999969}",20,6,-1.2485003198351299,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.2, 'e': 0.049999999999999684}",20,11,18.06892250130453,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.2, 'e': -3.191891195797325e-16}",30,12,29.544022936221083,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,17,13.40272876569101,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,9,19.14358829119072,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,11,23.430579546596018,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,13,23.327719964437982,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,7,24.752889421399566,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,9,19.804108297159804,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,3,31.100988107401555,"{0: 31, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,10,16.158666933153295,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",35,27,15.937944795017966,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,3,30.46087119778687,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",30,15,30.133724619643818,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,9,22.73785266779515,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",30,18,25.29045817120504,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,9,31.099465546731768,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,6,10.094302325491515,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,0,26.683014406610912,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0, 'e': 0}",20,10,18.707921791694105,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,11,24.264625116241533,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",30,18,24.81679379872523,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,8,21.174971687476805,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",25,15,19.618621700233543,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",20,10,18.49662930285889,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",25,6,29.70664404246424,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",20,13,13.48114267329562,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",30,23,12.292620713726098,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",25,4,27.566301297694913,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",20,7,21.832619830716745,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",30,3,46.76369985484183,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",20,10,0.3185937182641885,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
