trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-128.19328609779103,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-341.0455579683156,"{0: 11, 1: 2, 2: 10, 3: 2, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-210.63224828361248,"{0: 9, 1: 4, 2: 2, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-227.8611377732198,"{0: 14, 1: 2, 2: 9, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-181.5278441580928,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-198.44927123021108,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-59.14469963031331,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-52.748306993622066,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-295.4255649474388,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-212.09660506722295,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-70.07438558546654,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-87.25870718005295,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-199.32787403015837,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-152.27637157073656,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-92.79241130201908,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-197.07817938329322,"{0: 7, 1: 2, 2: 8, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-132.36223497814652,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-190.62358792134077,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-87.85148835553423,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-150.8762026671273,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-88.561946941723,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,12,-62.28698007419563,"{0: 7, 1: 2, 2: 2, 3: 2, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,16,-32.53541190733379,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-94.02590741558043,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-135.09221599172793,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",30,0,-153.63763974929708,"{0: 19, 1: 1, 2: 5, 3: 4, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-113.03590947506885,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,11,-36.063513335829356,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-101.24364470882585,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,-120.71677066244244,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
